AppAvro Result
Number of Iterations , 5
Mini seconds elapsed , 125
CommittedVirtualMemorySize , 251392000
FreePhysicalMemorySize , 5353881600
FreeSwapSpaceSize , 13434621952
ProcessCpuLoad , -1.0
ProcessCpuTime , 1156250000
SystemCpuLoad , 0.4997598847446775
TotalPhysicalMemorySize , 8398577664
TotalSwapSpaceSize , 16988512256
